,0,1,2,3,4,5,6,7,8,9
count,1452.0,1452.0,1452.0,1452.0,1452.0,1452.0,1452.0,1452.0,1452.0,1452.0
mean,63.72134180940851,70.86736042070345,88.9043540770688,277.01651298492027,122.59753776773414,264.08874906805704,158.8493418186705,103.21227594254405,64.97436070963175,22.024102544235024
std,81.6001587502345,52.474749550948346,115.29547893232224,261.309238775287,155.88858972893718,375.8173901877932,138.87895194871834,100.84573791906821,56.14441631784035,29.79869311425218
min,0.002164009101434284,0.0,0.08644222059338826,0.1644736854849677,0.10770676779399689,0.06464646440563786,0.402479339067724,0.0,0.001648351659268249,0.0005089058600005903
25%,5.7373291613504405,32.49559385235282,9.090218387801773,44.248355274321504,12.841541356120006,7.271464614856123,27.244059934915803,12.019291356029942,17.76881868730985,3.0286577598241564
50%,16.04066059568256,62.05057475446113,24.72902640521025,194.706250015009,34.72111890821445,54.61111121952082,123.29132224670957,63.217322882440854,53.128662984756815,8.954580161113851
75%,113.07910021193165,95.54703066807055,144.892629699529,465.6294402481596,206.3304982128784,431.02095977032576,284.9200928194472,181.43877972383785,96.4629069086908,28.982697203158196
max,377.1552391481376,520.3835252924212,440.1089171657883,1416.1302623245865,625.212218195326,1866.854545177986,532.0756199235204,487.9259845660193,308.51430510374763,173.53447830461857
