,date,Dry_Bulb_Temp,Wet_Bulb_Temp,Dew_Point_Temp,R_H,Vapor_Pressure,Wind_Speed,Total_Amount_cloud,Daily_Min_Temp,Sunshine_Hours,Amt_Individual_Layer_Cloud,Evaporation,Daily_Max_Temp,Total_Rainfall
48,1969-02-18,21.1,16.9,14.2,64.5,16.0,0.0,1.0,19.1,10.6,915.5,79.5,34.0,1.0
49,1969-02-19,22.9,15.2,9.25,42.0,11.7,4.0,1.5,19.1,10.6,901.5,89.5,34.7,3.0
50,1969-02-20,22.6,15.3,9.6,44.0,11.95,2.0,0.5,18.0,10.4,915.5,79.5,35.7,1.0
51,1969-02-21,23.6,16.6,11.75,47.5,13.8,4.0,0.5,19.4,10,900.5,87.0,36.7,1.0
52,1969-02-22,25.1,18.1,13.55,49.0,15.7,6.0,1.5,20.1,10.2,796.5,47.5,37.0,3.0
53,1969-02-23,24.7,20.5,18.3,67.5,21.05,2.0,1.5,20.5,9.2,796.5,50.0,36.8,3.0
54,1969-02-24,23.7,20.6,19.049999999999997,75.0,22.0,6.0,0.0,21.5,9.5,900.0,99.0,36.7,0.0
55,1969-02-25,23.200000000000003,20.5,19.1,78.0,22.3,12.0,2.5,20.6,10.2,702.5,35.0,35.4,5.0
56,1969-02-26,23.3,19.2,16.8,67.5,19.3,10.0,1.0,20.3,10.5,901.0,89.5,34.4,2.0
57,1969-02-27,22.5,16.5,12.35,53.0,14.5,5.0,1.5,19.4,10.3,916.0,70.0,34.7,2.0
58,1969-02-28,22.5,16.8,13.0,55.0,15.0,4.0,0.0,18.2,10.7,900.0,99.0,35.5,0.0
59,1969-03-01,24.1,15.2,8.1,36.5,10.899999999999999,9.0,0.5,17.5,11.3,900.5,89.5,36.0,1.0
60,1969-03-02,24.0,15.7,9.399999999999999,39.5,11.75,7.0,0.0,18.5,10.4,900.0,99.0,36.0,0.0
61,1969-03-03,22.3,16.8,13.100000000000001,56.5,15.149999999999999,11.0,4.0,17.5,8.9,904.0,75.0,34.4,8.0
62,1969-03-04,21.9,18.1,15.8,68.5,18.0,5.0,2.0,17.0,10,915.5,79.5,34.8,1.0
63,1969-03-05,23.1,15.100000000000001,8.85,41.0,11.35,4.0,2.0,17.8,8.2,915.5,79.5,36.0,1.0
64,1969-03-06,24.4,15.8,9.25,39.5,11.7,4.0,4.0,19.1,9.8,932.5,60.0,36.5,5.0
65,1969-03-07,25.799999999999997,15.7,7.5,32.5,10.45,4.0,1.5,22.0,8.1,901.5,89.5,38.0,3.0
66,1969-03-08,23.8,17.9,14.05,55.0,16.25,0.0,6.5,20.9,5.4,733.5,55.0,37.7,7.0
67,1969-03-09,25.1,17.9,13.4,49.0,15.4,7.0,6.0,21.3,8,934.5,60.0,36.0,9.0
68,1969-03-10,26.0,19.200000000000003,15.2,51.5,17.25,1.0,5.0,23.9,8.5,931.5,60.0,38.2,3.0
69,1969-03-11,24.0,18.2,14.65,56.0,16.7,1.0,4.0,21.0,7.4,742.0,52.5,37.1,4.0
70,1969-03-12,24.1,17.2,12.6,49.0,14.6,2.0,3.5,20.0,9.2,917.5,70.0,37.6,5.0
71,1969-03-13,24.6,20.0,17.450000000000003,64.5,20.1,2.0,1.5,20.9,7.6,901.5,89.5,38.0,3.0
72,1969-03-14,23.4,18.1,14.850000000000001,59.0,16.9,2.0,0.0,21.1,8.2,900.0,99.0,37.4,0.0
73,1969-03-15,26.8,17.2,10.4,36.0,12.65,4.0,4.0,24.0,8.1,933.5,61.0,37.0,7.0
74,1969-03-16,24.0,18.8,15.7,60.0,17.9,7.0,4.0,20.0,9.8,761.5,42.5,37.4,3.0
75,1969-03-17,24.9,16.3,9.5,40.0,12.35,7.0,2.5,22.2,9.7,740.5,62.0,36.9,1.0
76,1969-03-18,25.5,18.0,12.75,47.0,15.3,7.0,0.5,21.1,9.8,740.5,64.5,37.5,1.0
77,1969-03-19,25.4,17.8,12.7,46.5,14.9,5.0,1.0,20.4,9.8,901.0,87.0,38.2,2.0
78,1969-03-20,25.0,22.8,21.8,82.5,26.1,7.0,0.5,21.9,9.4,900.5,89.5,37.6,1.0
79,1969-03-21,25.7,22.7,21.35,77.0,25.4,2.0,0.5,21.5,8.3,900.5,87.0,37.8,1.0
80,1969-03-22,26.4,22.3,20.6,72.5,24.3,6.0,0.5,23.2,9,745.5,62.0,37.2,1.0
81,1969-03-23,25.6,19.9,16.5,59.0,19.25,6.0,0.5,23.0,9.6,915.5,79.5,38.5,1.0
82,1969-03-24,26.4,19.3,15.149999999999999,50.0,17.2,2.0,1.5,23.2,9.6,916.5,70.0,37.0,3.0
83,1969-03-25,26.299999999999997,16.5,15.149999999999999,34.0,11.600000000000001,3.0,0.5,21.4,9.7,900.5,89.5,38.5,1.0
84,1969-03-26,25.5,20.6,18.0,63.5,20.65,0.0,0.0,21.2,9.6,900.0,99.0,39.0,0.0
85,1969-03-27,27.4,20.0,15.8,49.0,17.950000000000003,3.0,0.0,22.4,8.4,900.0,99.0,38.8,0.0
86,1969-03-28,26.5,21.3,18.6,62.0,21.55,11.0,2.0,23.5,9.3,917.0,79.5,38.6,4.0
87,1969-03-29,28.9,21.4,17.5,50.0,20.049999999999997,6.0,5.5,25.6,7.9,935.0,60.0,38.4,10.0
88,1969-03-30,28.200000000000003,20.4,16.0,48.0,18.25,6.0,2.0,24.6,9.2,732.0,62.0,38.4,4.0
89,1969-03-31,28.2,19.5,14.3,43.0,16.35,2.0,2.0,25.5,9,917.0,70.0,39.2,4.0
90,1969-04-01,27.7,20.0,15.600000000000001,47.5,17.8,4.0,1.0,24.1,9.2,916.0,79.5,39.9,2.0
91,1969-04-02,27.3,19.5,14.899999999999999,46.5,17.05,8.0,3.5,22.7,8.2,903.5,80.0,39.1,7.0
92,1969-04-03,27.3,20.4,16.65,52.0,18.950000000000003,2.0,3.5,24.0,9,918.5,70.0,39.0,7.0
93,1969-04-04,25.200000000000003,19.2,15.649999999999999,55.5,17.9,6.0,1.0,22.5,9.2,915.5,79.5,39.3,1.0
94,1969-04-05,25.0,20.5,18.049999999999997,66.0,20.799999999999997,9.0,1.0,21.7,9.5,901.0,89.5,37.8,2.0
95,1969-04-06,27.5,20.7,17.0,53.0,19.4,9.0,1.0,22.7,9,901.0,89.5,37.9,2.0
96,1969-04-07,27.4,21.2,18.0,56.5,20.65,2.0,5.0,24.4,6.7,919.5,67.5,37.0,9.0
97,1969-04-08,28.0,20.8,16.950000000000003,51.0,19.299999999999997,9.0,2.0,24.5,9.1,932.0,60.0,37.6,4.0
98,1969-04-09,26.1,22.0,20.05,70.0,23.5,10.0,4.5,24.0,6.9,934.5,62.0,37.3,9.0
99,1969-04-10,27.0,19.700000000000003,15.5,49.5,17.6,2.0,3.5,23.1,6,916.0,79.5,36.7,2.0
100,1969-04-11,28.9,21.2,17.1,49.0,19.55,9.0,4.5,24.3,5,914.5,77.5,37.5,9.0
101,1969-04-12,28.8,21.299999999999997,17.35,50.0,19.8,11.0,6.5,27.5,3.1,796.5,45.0,37.9,3.0
102,1969-04-13,29.5,21.1,16.549999999999997,45.5,18.9,7.0,7.0,26.9,7.2,918.0,67.5,37.7,6.0
103,1969-04-14,30.0,20.5,15.149999999999999,41.5,17.200000000000003,8.0,0.0,25.5,10.5,900.0,99.0,40.0,0.0
104,1969-04-15,30.4,21.6,16.7,45.0,19.6,5.0,0.0,27.6,10.3,900.0,99.0,41.6,0.0
105,1969-04-16,30.7,20.7,15.0,38.5,17.1,11.0,1.5,27.1,10.1,901.5,87.0,42.0,3.0
106,1969-04-17,31.5,21.8,16.700000000000003,41.0,19.0,11.0,1.5,28.2,11.1,901.5,80.0,42.4,3.0
107,1969-04-18,31.2,24.700000000000003,21.9,58.5,26.299999999999997,7.0,1.5,28.1,10.3,916.5,79.5,42.3,3.0
108,1969-04-19,28.700000000000003,22.700000000000003,19.85,59.0,23.200000000000003,7.0,0.0,26.3,8.6,900.0,99.0,41.2,0.0
109,1969-04-20,28.9,24.200000000000003,22.200000000000003,67.0,26.75,12.0,1.5,25.7,8.2,901.5,89.5,39.4,3.0
110,1969-04-21,25.4,21.8,19.75,71.0,23.0,14.0,5.5,22.2,6.7,578.0,25.0,39.1,6.0
111,1969-04-22,29.0,24.5,22.6,68.5,27.450000000000003,4.0,3.5,24.3,11.5,761.5,42.5,38.0,3.0
112,1969-04-23,28.5,23.0,20.45,62.0,24.049999999999997,5.0,0.5,25.6,11.2,915.5,79.5,38.2,1.0
113,1969-04-24,29.7,23.700000000000003,21.0,60.0,24.85,4.0,0.5,26.9,9.8,740.5,62.0,40.1,1.0
114,1969-04-25,28.2,23.0,20.6,63.5,24.25,10.0,3.0,25.2,10.6,741.5,55.0,38.9,3.0
115,1969-04-26,27.8,22.5,20.0,62.5,23.35,12.0,2.5,25.1,9,586.0,25.0,39.2,2.0
116,1969-04-27,28.5,21.1,17.1,50.5,19.65,8.0,3.0,25.2,11.5,757.0,45.0,37.0,4.0
117,1969-04-28,31.2,22.5,18.15,46.0,20.8,13.0,4.5,27.2,7.9,762.5,42.5,38.8,5.0
118,1969-04-29,29.1,22.1,18.6,53.0,21.5,6.0,4.5,25.7,8,934.0,60.0,39.1,8.0
119,1969-04-30,29.7,22.3,18.65,51.5,21.549999999999997,7.0,1.5,26.6,11.5,931.5,60.0,39.9,3.0
120,1969-05-01,28.4,22.9,20.35,62.0,23.9,10.0,2.0,25.4,11.3,932.0,60.0,40.0,4.0
121,1969-05-02,29.1,20.7,21.1,47.0,25.0,10.0,0.0,24.8,11.8,900.0,99.0,39.6,0.0
122,1969-05-03,27.799999999999997,23.8,22.2,71.0,26.85,9.0,0.0,25.2,11.2,900.0,99.0,38.2,0.0
123,1969-05-04,28.0,23.8,21.95,69.5,26.4,14.0,1.0,25.6,8,931.0,60.0,39.0,2.0
124,1969-05-05,25.3,22.8,21.65,80.5,25.9,7.0,4.0,21.2,10.3,935.5,60.0,37.0,11.0
125,1969-05-06,27.6,21.85,19.0,60.0,22.0,5.0,0.5,24.9,10.9,915.5,79.5,36.7,1.0
126,1969-05-07,28.6,21.3,17.5,51.0,20.0,8.0,1.5,25.1,9.4,931.5,60.0,38.2,3.0
127,1969-05-08,28.5,22.0,18.8,56.0,21.7,9.0,1.0,25.7,10.3,916.0,79.5,38.5,2.0
128,1969-05-09,29.3,20.7,15.95,44.5,18.15,6.0,2.0,26.0,9.7,932.0,60.0,39.0,4.0
129,1969-05-10,29.6,21.6,17.4,48.0,19.950000000000003,5.0,1.5,26.7,9.3,796.0,50.0,39.7,2.0
130,1969-05-11,29.7,21.0,16.25,44.5,18.5,6.0,3.0,27.9,10.4,918.0,79.5,40.5,6.0
131,1969-05-12,29.3,24.4,22.25,67.0,26.95,16.0,2.0,27.9,9.9,917.0,67.5,41.4,4.0
132,1969-05-13,31.6,25.0,22.25,58.0,26.85,10.0,1.5,29.6,10.6,916.5,79.5,39.5,3.0
133,1969-05-14,27.1,22.1,19.7,64.0,22.9,7.0,7.5,20.98439633726777,5.9,591.5,22.5,40.1,3.0
134,1969-05-15,29.0,24.0,21.85,65.5,26.2,7.0,4.5,26.2,6.8,734.5,52.5,38.0,9.0
135,1969-05-16,26.5,21.8,19.5,65.5,22.65,5.0,7.0,25.4,0,578.5,27.5,37.0,7.0
136,1969-05-17,26.6,22.8,21.05,72.0,24.950000000000003,7.0,8.0,25.1,0,563.0,25.0,32.4,6.0
137,1969-05-18,25.0,22.9,21.950000000000003,83.5,26.35,6.0,8.0,23.4,0,527.5,19.0,29.4,5.0
138,1969-05-19,24.6,22.0,20.85,79.0,24.5,13.0,8.0,22.6,0,418.5,15.0,29.0,7.0
139,1969-05-20,25.4,22.6,21.299999999999997,78.5,25.4,5.0,7.5,24.8,5,563.5,22.5,31.7,7.0
140,1969-05-21,23.7,22.0,21.2,86.5,25.200000000000003,18.0,7.5,21.2,7.9,759.5,50.0,36.0,9.0
141,1969-05-22,28.0,23.3,21.15,67.0,25.15,6.0,2.0,24.6,11.1,902.0,75.0,37.0,4.0
142,1969-05-23,28.4,23.3,20.5,64.5,24.15,5.0,0.0,25.9,11.1,900.0,99.0,39.3,0.0
143,1969-05-24,30.200000000000003,25.200000000000003,23.15,66.0,28.299999999999997,4.0,3.5,27.2,9.6,916.5,67.5,39.4,3.0
144,1969-05-25,29.3,25.0,23.25,70.0,28.55,15.0,3.5,28.2,6.8,797.0,55.0,40.1,4.0
145,1969-05-26,29.1,22.5,19.299999999999997,56.0,22.35,24.0,4.0,26.3,10.9,746.5,52.5,39.2,3.0
146,1969-05-27,29.1,22.0,18.45,52.5,21.200000000000003,24.0,4.0,27.1,9.8,918.0,67.5,40.5,6.0
147,1969-05-28,32.3,19.4,10.75,27.5,13.15,25.0,6.0,28.5,10.6,761.5,42.5,42.1,3.0
148,1969-05-29,30.5,19.3,11.95,32.5,14.3,13.0,4.0,27.9,8.3,929.0,67.5,41.8,8.0
149,1969-05-30,30.3,21.5,16.75,45.0,19.3,29.0,3.5,28.3,10.8,917.5,70.0,40.0,5.0
150,1969-05-31,29.8,21.8,17.7,48.0,20.3,16.0,6.5,26.3,8.6,747.5,40.0,40.2,5.0
151,1969-06-01,31.1,21.799999999999997,16.95,43.0,19.35,24.0,5.5,27.8,9.3,576.0,27.5,39.4,2.0
152,1969-06-02,27.799999999999997,22.6,20.1,64.0,23.6,22.0,8.0,23.5,3.7,578.0,25.0,40.0,6.0
153,1969-06-03,27.4,22.700000000000003,20.5,66.0,24.1,31.0,6.5,25.7,4.1,576.0,25.0,36.6,2.0
154,1969-06-04,27.2,22.1,19.6,63.0,22.8,24.0,6.5,25.2,3.5,759.0,52.5,38.2,8.0
155,1969-06-05,27.8,21.9,19.0,59.0,21.950000000000003,32.0,8.0,25.8,3.5,517.5,20.0,36.4,5.0
156,1969-06-06,27.7,22.6,20.15,63.5,23.6,24.0,4.0,24.9,8.9,917.0,67.5,37.0,4.0
157,1969-06-07,26.6,20.7,18.4,61.0,21.299999999999997,26.0,5.5,24.7,8.3,918.0,68.5,36.4,6.0
158,1969-06-08,28.4,20.5,16.0,48.0,18.35,25.0,2.5,25.2,10.8,732.5,52.5,37.8,5.0
159,1969-06-09,29.1,21.6,17.700000000000003,51.0,20.35,28.0,2.5,26.2,9.2,917.5,67.5,37.4,5.0
160,1969-06-10,28.6,22.7,19.9,59.5,23.25,28.0,1.5,25.8,7.2,931.5,60.0,38.0,3.0
161,1969-06-11,26.4,22.8,21.1,73.5,25.05,25.0,6.5,25.3,5.5,577.0,27.5,37.4,4.0
162,1969-06-12,27.8,22.6,20.15,63.5,23.6,17.0,7.0,24.7,5.7,748.0,42.5,36.6,6.0
163,1969-06-13,27.9,23.0,20.75,65.0,24.5,15.0,6.0,26.1,0,561.5,27.5,37.2,3.0
164,1969-06-14,25.4,23.299999999999997,22.4,84.0,27.049999999999997,8.0,7.0,23.2,6.3,637.0,30.0,34.5,4.0
165,1969-06-15,24.6,22.55,21.85,84.5,26.15,12.0,8.0,23.0,0.7,478.5,16.5,34.6,7.0
166,1969-06-16,25.5,22.700000000000003,21.4,78.0,25.5,21.0,6.5,23.8,0.4,612.0,30.0,32.8,4.0
167,1969-06-17,24.5,22.700000000000003,21.85,86.0,26.25,16.0,8.0,23.0,0.4,591.5,25.0,34.1,3.0
168,1969-06-18,26.700000000000003,21.4,18.700000000000003,61.5,21.6,26.0,2.5,24.3,4.2,917.5,70.0,32.4,5.0
169,1969-06-19,25.2,22.200000000000003,20.8,76.5,24.55,23.0,5.5,23.0,9.8,763.0,45.0,35.8,6.0
170,1969-06-20,25.3,22.200000000000003,20.75,76.0,24.5,30.0,6.5,23.7,7.8,527.0,20.0,36.0,4.0
171,1969-06-21,26.200000000000003,21.4,19.0,65.0,22.0,30.0,5.0,24.2,5.8,517.0,18.5,34.6,4.0
172,1969-06-22,26.0,22.3,20.6,72.0,24.299999999999997,28.0,3.0,24.2,6.5,731.5,52.5,34.1,3.0
173,1969-06-23,27.1,22.3,20.0,65.5,23.4,17.0,4.0,25.1,6,932.0,60.0,35.1,4.0
174,1969-06-24,27.8,22.9,20.65,65.0,24.35,21.0,6.0,23.4,8,918.5,67.5,35.4,7.0
175,1969-06-25,27.7,23.6,21.799999999999997,70.5,26.15,17.0,6.0,25.0,8.1,576.0,27.5,36.1,2.0
176,1969-06-26,25.0,23.0,22.1,84.0,26.6,16.0,7.5,23.2,1.1,467.5,16.5,36.4,5.0
177,1969-06-27,24.0,22.700000000000003,22.15,89.5,26.65,15.0,7.5,22.5,6.4,558.5,20.0,30.1,7.0
178,1969-06-28,24.2,22.950000000000003,22.4,89.5,27.1,9.0,8.0,22.7,3.9,482.5,16.5,34.2,5.0
179,1969-06-29,25.8,22.6,21.1,75.5,25.0,11.0,6.5,24.0,9.5,468.5,19.0,32.2,7.0
180,1969-06-30,25.3,22.700000000000003,21.5,79.5,25.65,20.0,7.0,24.0,1.8,654.0,34.0,34.2,8.0
181,1969-07-01,25.9,22.5,20.9,74.0,24.700000000000003,24.0,7.0,24.2,8.1,512.5,22.5,32.4,5.0
182,1969-07-02,25.0,22.8,21.8,82.5,26.1,12.0,6.0,23.7,2.6,468.5,19.5,33.8,7.0
183,1969-07-03,24.4,22.35,21.45,83.0,25.6,24.0,8.0,22.8,0.4,425.0,9.0,32.0,10.0
184,1969-07-04,23.7,21.799999999999997,20.9,84.0,24.75,22.0,8.0,22.3,0,419.0,11.5,30.0,8.0
185,1969-07-05,24.200000000000003,21.799999999999997,20.65,80.5,24.35,23.0,8.0,22.6,4.6,531.5,17.5,27.6,3.0
186,1969-07-06,23.8,22.0,21.15,86.0,25.1,18.0,8.0,22.2,8.1,462.5,15.0,31.5,5.0
187,1969-07-07,24.6,22.6,21.7,83.5,25.95,16.0,7.0,22.7,12,419.5,11.5,31.2,9.0
188,1969-07-08,24.5,23.0,22.200000000000003,87.5,26.75,17.0,6.5,23.1,8.7,562.0,20.0,33.2,4.0
189,1969-07-09,25.1,22.35,21.1,78.5,25.05,13.0,7.0,23.9,8,467.5,17.0,33.0,5.0
190,1969-07-10,26.1,22.25,20.45,71.0,24.049999999999997,21.0,5.5,23.9,6.2,511.0,20.0,34.0,2.0
191,1969-07-11,24.5,22.6,21.75,84.5,26.1,12.0,8.0,23.3,5,517.0,17.5,32.4,4.0
192,1969-07-12,23.799999999999997,22.15,21.35,86.5,25.4,33.0,7.5,23.3,1.3,373.0,8.0,33.2,6.0
193,1969-07-13,23.7,21.4,20.3,81.0,23.85,21.0,6.0,22.0,4.5,518.0,17.5,29.5,6.0
194,1969-07-14,24.6,22.7,21.85,85.0,26.200000000000003,21.0,7.5,23.2,2.8,373.5,8.0,30.4,7.0
195,1969-07-15,23.0,22.2,21.799999999999997,93.5,26.1,16.0,8.0,21.7,3.4,421.5,9.0,31.0,3.0
196,1969-07-16,24.299999999999997,22.0,20.95,81.5,24.799999999999997,26.0,7.0,22.3,7.7,417.5,11.5,30.1,5.0
197,1969-07-17,25.0,21.0,18.950000000000003,69.5,21.9,25.0,3.5,23.2,10.3,651.5,34.5,33.9,3.0
198,1969-07-18,24.7,20.9,18.5,70.5,21.3,31.0,7.5,23.1,3.1,468.0,14.0,33.8,6.0
199,1969-07-19,24.8,20.7,18.6,68.5,21.4,25.0,7.5,23.4,0,563.0,22.5,31.2,6.0
200,1969-07-20,24.0,21.45,20.2,79.5,23.65,32.0,7.5,23.0,0,419.0,11.5,29.5,8.0
201,1969-07-21,22.799999999999997,20.799999999999997,19.95,83.0,23.3,30.0,8.0,21.9,0,422.5,9.0,29.4,5.0
202,1969-07-22,24.5,21.8,20.5,78.5,24.15,26.0,7.5,22.6,7.8,468.0,14.0,29.7,6.0
203,1969-07-23,24.2,22.0,21.0,82.5,24.85,19.0,8.0,23.1,0,512.0,20.0,34.0,4.0
204,1969-07-24,23.799999999999997,22.0,21.15,85.0,25.15,17.0,8.0,22.3,0,468.5,14.5,30.1,7.0
205,1969-07-25,23.0,21.8,21.25,90.0,25.25,12.0,8.0,20.7,0.9,374.0,8.5,27.8,8.0
206,1969-07-26,23.3,21.8,21.1,87.5,25.05,15.0,7.5,21.3,5.9,372.5,8.0,28.9,5.0
207,1969-07-27,22.8,21.8,21.25,91.5,25.25,17.0,8.0,22.1,0,467.5,16.5,31.2,5.0
208,1969-07-28,21.9,21.1,20.7,93.0,24.4,22.0,8.0,20.7,0,374.0,8.0,26.6,8.0
209,1969-07-29,22.4,21.0,20.299999999999997,88.0,23.85,30.0,8.0,21.3,0,375.0,7.5,24.0,10.0
210,1969-07-30,22.5,21.1,20.4,88.5,24.0,32.0,8.0,21.2,0.5,375.0,8.5,27.4,10.0
211,1969-07-31,22.2,21.3,20.85,92.5,24.65,24.0,8.0,21.5,1,425.0,9.5,27.6,10.0
212,1969-08-01,22.799999999999997,21.3,20.549999999999997,87.5,24.2,30.0,8.0,21.5,1.9,374.5,9.0,27.8,9.0
213,1969-08-02,23.5,21.9,21.15,87.0,25.1,24.0,7.5,22.5,9.1,468.0,16.5,29.0,6.0
214,1969-08-03,23.7,21.6,20.6,83.0,24.25,28.0,6.5,22.2,3.7,653.0,33.5,31.6,6.0
215,1969-08-04,24.3,21.5,20.15,77.5,23.6,22.0,7.0,22.6,7.1,468.5,14.5,30.4,7.0
